,TOTAL,,,,NON - HISPANIC WHITE,,BLACK,,AMERICAN INDIAN & ALASKA NATIVE,,ASIAN,,NATIVE HAWAIIAN & OTHER PACIFIC ISLANDER,,TWO OR MORE RACES,,HISPANIC WHITE,,HISPANIC ALL OTHER,
,Estimate,Margin of Error,Percent,Percent Margin of Error,Percent,Percent Margin of Error,Percent,Percent Margin of Error,Percent,Percent Margin of Error,Percent,Percent Margin of Error,Percent,Percent Margin of Error,Percent,Percent Margin of Error,Percent,Percent Margin of Error,Percent,Percent Margin of Error
ALL OCCUPATIONS:,"493,070","2,117",100,0.1,15.3,0.2,64.5,0.3,0.2,0.1,4.1,0.1,0,0.1,1.8,0.2,6.1,0.4,8,0.4
          Male,"241,625","1,537",49,0.2,8.1,0.1,29.1,0.2,0.1,0.1,2.2,0.1,0,0.1,0.9,0.1,3.8,0.2,4.9,0.2
          Female,"251,445","1,527",51,0.2,7.2,0.1,35.3,0.2,0.1,0.1,1.9,0.1,0,0.1,0.9,0.1,2.3,0.2,3.1,0.2
10 Chief executives and legislators 0010 (SOC 11-10XX),"1,580",280,100,2.3,34.5,9,52.2,10.2,1.9,2,3.5,3.1,0,2.3,0.9,8.2,2.5,2.4,4.7,3.8
          Male,"1,005",234,63.6,8.9,20.6,6.6,34.2,8.8,0,2.3,2.2,2.6,0,2.3,0,2.3,2.2,2.1,4.7,3.8
          Female,575,169,36.4,8.8,13.9,7.8,18,6.8,1.9,2,1.3,1.7,0,2.3,0.9,8.2,0.3,0.6,0,2.3
20 General and operations managers 0020 (SOC 11-1021),"1,855",287,100,2,22.1,6.2,71.7,6.8,0,2,2.2,2.2,0,2,0.5,6.9,2.7,2.7,0.8,1
          Male,"1,025",222,55.3,7.9,13.2,5.4,36.7,9,0,2,2.2,2.2,0,2,0.5,6.9,1.9,2.2,0.8,1
          Female,830,189,44.7,8,8.9,4,35,7.6,0,2,0,2,0,2,0,2,0.8,1.5,0,2
40 Advertising and promotions managers 0040 (SOC 11-2011),160,91,100,20.7,59.4,25.9,37.5,26.1,0,20.7,0,20.7,0,20.7,2.5,80.1,0,20.7,0,20.7
          Male,45,49,28.1,25.8,28.1,25.8,0,20.7,0,20.7,0,20.7,0,20.7,0,20.7,0,20.7,0,20.7
          Female,115,73,71.9,25.9,31.3,25,37.5,26.1,0,20.7,0,20.7,0,20.7,2.5,80.1,0,20.7,0,20.7
50 Marketing and sales managers 0050 (SOC 11-2020),"1,525",339,100,2.4,18.4,7,75.4,7.6,0,2.4,2.3,2.6,0,2.4,1.6,8.5,1,1.5,1.3,1.8
          Male,590,220,38.7,10.6,3.9,3.5,29.5,10.3,0,2.4,2.3,2.6,0,2.4,0.7,8.4,1,1.5,1.3,1.8
          Female,935,241,61.3,10.6,14.1,6.3,46.2,12,0,2.4,0,2.4,0,2.4,1,8.4,0,2.4,0,2.4
60 Public relations and fundraising managers 0060 (SOC 11-2031),285,106,100,12.3,38.6,17.1,54.4,18.5,0,12.3,0,12.3,0,12.3,7,45.6,0,12.3,0,12.3
          Male,65,62,22.8,18.4,3.5,5.4,17.5,17.9,0,12.3,0,12.3,0,12.3,0,12.3,0,12.3,0,12.3
          Female,220,83,77.2,18.4,35.1,16.9,36.8,18.7,0,12.3,0,12.3,0,12.3,7,45.6,0,12.3,0,12.3
